"U.S. Border Patrol Blaine and Spokane Sectors' Processed Subjects in I-44 Events"||||||||||
"January 1, 2012 - June 30, 2019"||||||||||
"Data includes Deportable and Non-Deportable Processed Subjects"||||||||||
"Data Source: EID (Unofficial) as of 9/30/19"||||||||||
||||||||||
||||||||||
"APPR_DT_TIME"|"SECTOR"|"APP_AGE"|"GENDER"|"COMPLEXION"|"HAIR_COLOR"|"EYE_COLOR"|"CITIZENSHIP"|"STATUS_WHEN_FOUND"|"CRIMINAL_ALIEN"|"DEPORTABLE"
2/20/2012 12:10:00 AM|"BLW"|44|"Female"||"BRO"|"BLU"|"CANADA"|"TRAVEL/SEEKING"|"N"|"Y"
2/20/2012 6:21:00 PM|"BLW"|34|"Male"||"BRO"|"BLU"|"UNITED STATES"||"N"|"N"
2/24/2012 8:30:00 PM|"SPW"|33|"Female"||"BLN"|"BRO"|"UNITED STATES"||"N"|"N"
2/26/2012 3:00:00 AM|"BLW"|30|"Male"||"BLK"|"BRO"|"MEXICO"||"N"|"Y"
2/26/2012 7:02:00 PM|"BLW"|45|"Male"|"MED"|"BLK"|"BRO"|"GUATEMALA"|"AGRICULTURE"|"N"|"Y"
2/26/2012 7:57:00 PM|"BLW"|23|"Female"||"BLN"|"GRN"|"UNITED STATES"||"N"|"N"
2/29/2012 12:08:00 PM|"BLW"|7|"Male"||"BRO"|"BLU"|"UNITED STATES"||"N"|"N"
3/2/2012 11:00:00 AM|"BLW"|46|"Male"||"BLK"|"BRO"|"UNITED STATES"||"N"|"N"
3/2/2012 10:18:00 PM|"BLW"|20|"Male"|"MED"|"BRO"|"BLU"|"CANADA"|"TRAVEL/SEEKING"|"N"|"Y"
3/2/2012 10:18:00 PM|"BLW"|17|"Male"|"MED"|"BRO"|"BLU"|"CANADA"|"TRAVEL/SEEKING"|"N"|"Y"
3/2/2012 10:18:00 PM|"BLW"|17|"Female"|"LGT"|"BRO"|"BLU"|"CANADA"|"TRAVEL/SEEKING"|"N"|"Y"
3/4/2012 6:47:00 PM|"BLW"|32|"Male"|"FAR"|"BLK"|"BLK"|"CANADA"|"IN TRAVEL"|"N"|"Y"
3/6/2012 8:10:00 AM|"SPW"|34|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"||"N"|"Y"
3/6/2012 12:30:00 PM|"BLW"|37|"Male"|"LGT"|"BLK"|"HAZ"|"CANADA"|"TRAVEL/SEEKING"|"N"|"Y"
3/7/2012 11:43:00 PM|"BLW"|53|"Female"||"BRO"|"XXX"|"UNITED STATES"||"N"|"N"
3/10/2012 11:45:00 PM|"SPW"|49|"Male"||"BRO"||"UNITED STATES"||"N"|"N"
3/11/2012 5:45:00 PM|"SPW"|36|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"IN INSTITUTION"|"N"|"Y"
3/11/2012 5:46:00 PM|"BLW"|56|"Male"||"GRY"|"GRN"|"UNITED STATES"||"N"|"N"
3/11/2012 10:38:00 PM|"BLW"|32|"Female"||"BLK"|"BRO"|"UNITED STATES"||"N"|"N"
3/11/2012 10:38:00 PM|"BLW"|28|"Male"||"BLK"|"BRO"|"MEXICO"||"N"|"N"
3/12/2012 8:25:00 AM|"BLW"|44|"Male"|"MED"|"GRY"|"BRO"|"CANADA"|"TRAVEL/SEEKING"|"N"|"Y"
3/13/2012 12:00:00 PM|"SPW"|48|"Male"||||"CANADA"||"N"|"N"
3/14/2012 12:20:00 PM|"BLW"|45|"Male"||"BLK"|"GRN"|"UNITED STATES"||"N"|"N"
3/14/2012 9:35:00 PM|"BLW"|45|"Male"||"BRO"||"FRANCE"||"N"|"N"
3/14/2012 9:35:00 PM|"BLW"|49|"Male"||||"FRANCE"||"N"|"N"
3/16/2012 9:13:00 AM|"BLW"|27|"Male"||"BRO"|"BRO"|"UNITED STATES"||"N"|"N"
3/16/2012 9:13:00 AM|"BLW"|19|"Male"||"BLN"|"GRN"|"UNITED STATES"||"N"|"N"
3/16/2012 3:25:00 PM|"BLW"|32|"Male"||"BLK"|"BRO"|"UNITED STATES"||"N"|"N"
3/17/2012 5:15:00 PM|"SPW"|29|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"IN TRAVEL"|"N"|"Y"
3/17/2012 5:15:00 PM|"SPW"|28|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"IN TRAVEL"|"N"|"Y"
3/18/2012 8:30:00 PM|"BLW"|37|"Male"|"MED"|"BLK"|"BRO"|"HONDURAS"|"TRAVEL/SEEKING"|"N"|"Y"
3/18/2012 8:30:00 PM|"BLW"|24|"Male"|"MED"|"BLK"|"BRO"|"HONDURAS"|"TRAVEL/SEEKING"|"N"|"Y"
3/18/2012 8:30:00 PM|"BLW"|33|"Male"|"MED"|"BLK"|"BRO"|"EL SALVADOR"|"IN TRAVEL"|"N"|"Y"
3/20/2012 2:30:00 PM|"BLW"|42|"Male"||"BRO"|"BLU"|"UNITED STATES"||"N"|"N"
3/21/2012 12:06:00 AM|"BLW"|20|"Male"||"BLD"|"BLU"|"UNITED STATES"||"N"|"N"
3/21/2012 12:06:00 AM|"BLW"|25|"Male"||"BLK"|"BRO"|"UNITED STATES"||"N"|"N"
3/22/2012 1:31:00 AM|"BLW"|28|"Male"||"BRO"|"BLK"|"GUATEMALA"||"N"|"N"
3/22/2012 8:11:00 AM|"SPW"|24|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"TRAVEL/SEEKING"|"N"|"Y"
3/22/2012 4:00:00 PM|"SPW"|52|"Male"|||"BRO"|"UNITED STATES"||"N"|"N"
3/22/2012 6:37:00 PM|"BLW"|19|"Male"||"BLK"|"BRO"|"SAUDI ARABIA"|"IN TRAVEL"|"N"|"N"
3/22/2012 6:37:00 PM|"BLW"|20|"Male"||"BLK"|"BRO"|"SAUDI ARABIA"|"IN TRAVEL"|"N"|"N"
3/22/2012 6:37:00 PM|"BLW"|22|"Male"||"BLK"|"BRO"|"SAUDI ARABIA"|"IN TRAVEL"|"N"|"N"
3/23/2012 3:00:00 PM|"SPW"|51|"Male"||||"UNITED STATES"||"N"|"N"
3/26/2012 11:16:00 PM|"BLW"|28|"Male"||"BRO"|"BRO"|"CUBA"||"N"|"N"
3/27/2012 11:40:00 PM|"BLW"|39|"Male"||"BLK"|"BRO"|"CUBA"||"N"|"N"
3/28/2012 12:08:00 AM|"BLW"|45|"Male"||"BRO"|"BRO"|"CANADA"||"N"|"N"
3/28/2012 2:30:00 PM|"BLW"|30|"Female"|"MED"|"BLK"|"BRO"|"MEXICO"|"TRAVEL/SEEKING"|"N"|"Y"
3/28/2012 3:38:00 PM|"BLW"|26|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"TRAVEL/SEEKING"|"N"|"Y"
3/29/2012 3:48:00 AM|"SPW"|25|"Female"||"BRO"|"GRN"|"UNITED STATES"|"TRAVEL/SEEKING"|"N"|"N"
3/29/2012 4:59:00 AM|"BLW"|19|"Male"|"MED"|"BRO"|"BRO"|"MEXICO"|"IN TRAVEL"|"N"|"Y"
4/3/2012 4:35:00 PM|"BLW"|21|"Female"||"BLK"|"BLK"|"MEXICO"|"IN TRAVEL"|"N"|"Y"
4/3/2012 4:35:00 PM|"BLW"|26|"Male"||"BLK"|"BLK"|"MEXICO"|"IN TRAVEL"|"N"|"Y"
4/3/2012 5:13:00 PM|"BLW"|20|"Male"||"BLK"|"BRO"|"MEXICO"|"IN TRAVEL"|"N"|"Y"
4/4/2012 5:00:00 AM|"SPW"|20|"Male"||"XXX"|"XXX"|"UNITED STATES"||"N"|"N"
4/7/2012 9:45:00 AM|"BLW"|48|"Male"||"BLK"|"BRO"|"MEXICO"||"N"|"N"
4/7/2012 9:45:00 AM|"BLW"|47|"Female"||"BLK"|"BRO"|"MEXICO"||"N"|"N"
4/8/2012 10:26:00 PM|"BLW"|23|"Male"||||"UNITED STATES"|"TRAVEL/SEEKING"|"N"|"N"
4/9/2012 10:20:00 PM|"BLW"|20|"Male"|"MED"|"BLK"|"BRO"|"CANADA"|"IN TRAVEL"|"N"|"N"
4/11/2012 12:25:00 AM|"BLW"|50|"Male"||"BRO"|"GRN"|"UNITED STATES"||"N"|"N"
4/11/2012 3:23:00 PM|"BLW"|46|"Male"||"GRY"|"BLU"|"UNITED STATES"||"N"|"N"
4/11/2012 9:44:00 PM|"BLW"|30|"Unknown"||||"UNITED STATES"||"N"|"N"
4/11/2012 9:44:00 PM|"BLW"|25|"Unknown"||||"MEXICO"||"N"|"N"
4/11/2012 9:44:00 PM|"BLW"|41|"Unknown"||||"MEXICO"||"N"|"N"
4/12/2012 3:37:00 AM|"BLW"|23|"Male"||"BRO"|"BLU"|"UNITED STATES"||"N"|"N"
4/13/2012 11:00:00 PM|"SPW"|27|"Male"||||"UNITED STATES"||"N"|"N"
4/15/2012 6:20:00 PM|"BLW"|46|"Male"|"DRK"|"BLK"|"BRO"|"UNITED STATES"||"N"|"N"
4/16/2012 9:58:00 AM|"SPW"|21|"Male"|"MED"|"BLK"|"BLU"|"MEXICO"|"IN INSTITUTION"|"N"|"Y"
4/17/2012 12:10:00 AM|"BLW"|20|"Male"||"BLK"|"BRO"|"UNITED STATES"||"N"|"N"
4/20/2012 2:00:00 PM|"SPW"||"Male"||"BRO"|"BRO"|"UNITED STATES"||"N"|"N"
4/21/2012 1:30:00 PM|"BLW"|47|"Male"||"BRO"|"BRO"|"UNITED STATES"||"N"|"N"
4/21/2012 1:30:00 PM|"BLW"|29|"Male"||"BRO"|"BRO"|"GUATEMALA"||"N"|"N"
4/22/2012 3:32:00 PM|"SPW"|30|"Male"||"BLK"|"BRO"|"MEXICO"|"AGRICULTURE"|"N"|"Y"
4/22/2012 3:32:00 PM|"SPW"|23|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"AGRICULTURE"|"N"|"Y"
4/22/2012 3:32:00 PM|"SPW"|30|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"AGRICULTURE"|"N"|"Y"
4/22/2012 4:00:00 PM|"SPW"|29|"Male"||"RED"|"XXX"|"UNITED STATES"|"TRAVEL/SEEKING"|"N"|"N"
4/24/2012 6:30:00 PM|"SPW"|32|"Female"||"BLD"|"BRO"|"UNITED STATES"||"N"|"N"
4/25/2012 11:16:00 AM|"BLW"|18|"Male"|"MED"|"BLK"|"BRO"|"CANADA"|"TRAVEL/SEEKING"|"N"|"Y"
4/25/2012 9:52:00 PM|"BLW"|23|"Male"||"BRO"|"BRO"|"UNITED STATES"||"N"|"N"
4/26/2012 10:04:00 PM|"BLW"|20|"Male"||"BRO"|"BRO"|"UNITED STATES"||"N"|"N"
4/27/2012 5:41:00 PM|"BLW"|30|"Female"||"BRO"|"HAZ"|"UNITED STATES"||"N"|"N"
4/27/2012 5:41:00 PM|"BLW"||"Male"||"BRO"|"BLU"|"UNITED STATES"||"N"|"N"
4/27/2012 7:42:00 PM|"BLW"|32|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"TRAVEL/SEEKING"|"N"|"Y"
4/27/2012 10:28:00 PM|"BLW"|22|"Male"||"BLK"|"BRO"|"MEXICO"||"N"|"N"
4/28/2012 9:40:00 PM|"BLW"|37|"Male"||"BLK"|"BRO"|"RWANDA"||"N"|"N"
4/28/2012 9:40:00 PM|"BLW"|46|"Female"||"BLK"|"BRO"|"UNITED STATES"||"N"|"N"
4/28/2012 9:40:00 PM|"BLW"|29|"Female"||"BLK"|"BRO"|"KENYA"||"N"|"N"
4/28/2012 9:40:00 PM|"BLW"|50|"Male"||"BLK"|"BRO"|"TANZANIA"||"N"|"N"
4/28/2012 9:40:00 PM|"BLW"|31|"Male"||"BLK"|"BRO"|"SOMALIA"||"N"|"N"
4/28/2012 9:40:00 PM|"BLW"|26|"Male"||"BLK"|"BRO"|"ETHIOPIA"||"N"|"N"
4/29/2012 6:30:00 PM|"BLW"|24|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"TRAVEL/SEEKING"|"N"|"Y"
4/29/2012 8:20:00 PM|"BLW"|32|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"TRAVEL/SEEKING"|"N"|"Y"
4/29/2012 8:20:00 PM|"BLW"|38|"Female"||"BLK"|"BRO"|"MEXICO"||"N"|"N"
4/30/2012 5:45:00 PM|"SPW"|25|"Male"|"LBR"|"BLK"|"BRO"|"CANADA"|"TRAVEL/SEEKING"|"N"|"Y"
4/30/2012 5:45:00 PM|"SPW"|27|"Male"|"MBR"|"BLK"|"BRO"|"CANADA"|"TRAVEL/SEEKING"|"N"|"Y"
5/1/2012 11:00:00 AM|"SPW"|34|"Male"|"MED"|"BLK"|"BLK"|"MEXICO"|"TRAVEL/SEEKING"|"N"|"Y"
5/5/2012 11:54:00 PM|"BLW"|32|"Male"||"BRO"|"BRO"|"INDIA"||"N"|"N"
5/6/2012 9:37:00 PM|"SPW"|28|"Male"|"MBR"|"BLK"|"BRO"|"MEXICO"|"TRAVEL/SEEKING"|"N"|"Y"
5/7/2012 12:30:00 AM|"BLW"|41|"Female"|"MED"|"BLK"|"BRO"|"CANADA"|"TRAVEL/SEEKING"|"N"|"Y"
5/7/2012 12:30:00 AM|"BLW"|28|"Male"|"MED"|"BRO"|"BRO"|"MEXICO"|"IN TRAVEL"|"N"|"Y"
5/7/2012 12:30:00 AM|"BLW"|23|"Male"|"MED"|"BLK"|"BRO"|"UNITED STATES"|"IN TRAVEL"|"N"|"N"
5/7/2012 7:20:00 PM|"BLW"|45|"Male"||"GRY"|"BLU"|"UNITED STATES"||"N"|"N"
5/10/2012 6:17:00 PM|"BLW"|50|"Male"||"XXX"|"BRO"|"FIJI"||"N"|"N"
5/11/2012 10:55:00 AM|"SPW"|18|"Female"||"BRO"|"BRO"|"UNITED STATES"||"N"|"N"
5/11/2012 11:30:00 AM|"SPW"|24|"Male"||"BRO"|"GRN"|"UNITED STATES"||"N"|"N"
5/11/2012 1:17:00 PM|"SPW"|20|"Male"||"BRO"|"BLU"|"UNITED STATES"||"N"|"N"
5/11/2012 2:16:00 PM|"SPW"|35|"Male"||"BRO"|"HAZ"|"UNITED STATES"||"N"|"N"
5/11/2012 3:13:00 PM|"SPW"|50|"Male"||"RED"|"BLU"|"UNITED STATES"||"N"|"N"
5/11/2012 6:00:00 PM|"SPW"|22|"Male"||"BLN"|"BLU"|"UNITED STATES"||"N"|"N"
5/12/2012 9:45:00 PM|"BLW"|34|"Male"||"BLD"|"BRO"|"UNITED STATES"||"N"|"N"
5/13/2012 12:26:00 AM|"BLW"|27|"Male"||"BRO"|"BRO"|"MEXICO"||"N"|"N"
5/13/2012 1:02:00 AM|"BLW"|36|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"TRAVEL/SEEKING"|"N"|"Y"
5/13/2012 6:00:00 AM|"BLW"|41|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"TRAVEL/SEEKING"|"N"|"Y"
5/13/2012 7:22:00 PM|"BLW"|55|"Female"||"BRO"|"BRO"|"MEXICO"|"TRAVEL/SEEKING"|"N"|"Y"
5/14/2012 10:45:00 AM|"BLW"|38|"Male"||"BLK"|"BRO"|"UNITED STATES"||"N"|"N"
5/18/2012 3:44:00 PM|"BLW"|50|"Male"||"BRO"|"BLU"|"UNITED STATES"||"N"|"N"
5/20/2012 10:30:00 PM|"SPW"||"Female"||"BRO"||"UNITED STATES"||"N"|"N"
5/20/2012 10:30:00 PM|"SPW"|35|"Male"||"BLK"|"BRO"|"UNITED STATES"||"N"|"N"
5/24/2012 5:15:00 AM|"BLW"|32|"Male"||"BRO"|"BRO"|"UNITED STATES"||"N"|"N"
5/26/2012 4:30:00 PM|"BLW"|32|"Male"|"LBR"|"BLK"|"BRO"|"UNITED STATES"||"N"|"N"
6/3/2012 4:03:00 PM|"BLW"|34|"Male"||"BLD"|"BLU"|"UNITED STATES"||"N"|"N"
6/4/2012 1:10:00 AM|"BLW"|22|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"AGRICULTURE"|"N"|"Y"
6/4/2012 11:27:00 AM|"SPW"|50|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"IN INSTITUTION"|"N"|"Y"
6/5/2012 10:16:00 PM|"BLW"|37|"Male"||"BLN"|"BRO"|"UNITED STATES"||"N"|"N"
6/8/2012 8:00:00 AM|"BLW"|20|"Female"||"BRO"|"BLU"|"UNITED STATES"||"N"|"N"
6/8/2012 8:00:00 AM|"BLW"|56|"Male"||"BLK"|"BRO"|"UNITED STATES"||"N"|"N"
6/8/2012 8:00:00 AM|"BLW"|34|"Male"||"BRO"|"HAZ"|"UNITED STATES"||"N"|"N"
6/8/2012 8:00:00 AM|"BLW"|28|"Male"||"BRO"|"GRN"|"UNITED STATES"||"N"|"N"
6/8/2012 8:05:00 AM|"BLW"|41|"Female"||"BRO"|"GRN"|"UNITED STATES"||"N"|"N"
6/8/2012 1:00:00 PM|"BLW"|53|"Female"||"BRO"|"GRN"|"UNITED STATES"||"N"|"N"
6/8/2012 2:45:00 PM|"BLW"|53|"Female"||"BRO"|"BRO"|"UNITED STATES"||"N"|"N"
6/9/2012 8:00:00 AM|"SPW"|50|"Male"||"GRY"||"UNITED STATES"||"N"|"N"
6/9/2012 1:30:00 PM|"BLW"|42|"Male"|"MED"|"BRO"|"BRO"|"CUBA"|"IN TRAVEL"|"N"|"Y"
6/9/2012 1:30:00 PM|"BLW"|45|"Male"|"MED"|"BRO"|"BRO"|"CUBA"|"IN TRAVEL"|"N"|"Y"
6/12/2012 12:45:00 AM|"BLW"|46|"Male"|"MED"|"BRO"|"BRO"|"MEXICO"|"TRAVEL/SEEKING"|"N"|"Y"
6/12/2012 4:09:00 AM|"BLW"|22|"Male"||"BLK"|"BRO"|"MEXICO"||"N"|"N"
6/13/2012 10:00:00 AM|"BLW"|24|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"TRAVEL/SEEKING"|"N"|"Y"
6/13/2012 10:00:00 AM|"BLW"|27|"Female"|"MED"|"BLK"|"BRO"|"MEXICO"|"TRAVEL/SEEKING"|"N"|"Y"
6/13/2012 10:00:00 AM|"BLW"|41|"Male"|"MED"|"GRY"|"BRO"|"MEXICO"|"TRAVEL/SEEKING"|"N"|"Y"
6/13/2012 10:30:00 AM|"SPW"||"Unknown"||||"UNKNOWN"||"N"|"N"
6/16/2012 3:45:00 PM|"BLW"|16|"Male"||"BRO"|"BRO"|"UNITED STATES"||"N"|"N"
6/17/2012 7:00:00 PM|"BLW"|21|"Male"||"BRO"|"BRO"|"UNITED STATES"||"N"|"N"
6/19/2012 2:36:00 PM|"SPW"|53|"Male"||"BRO"|"HAZ"|"UNITED STATES"||"N"|"N"
6/19/2012 8:16:00 PM|"SPW"|29|"Male"||"BRO"|"BLU"|"UNITED STATES"||"N"|"N"
6/24/2012 6:38:00 PM|"BLW"|42|"Female"||"BLK"|"BRO"|"INDIA"||"N"|"N"
6/24/2012 6:38:00 PM|"BLW"|13|"Male"||"BLK"|"BRO"|"INDIA"||"N"|"N"
6/27/2012 4:15:00 PM|"BLW"|25|"Female"||||"UNITED STATES"||"N"|"N"
6/27/2012 4:15:00 PM|"BLW"|24|"Female"||||"UNITED STATES"||"N"|"N"
6/28/2012 1:15:00 PM|"BLW"|46|"Male"||"BRO"|"BRO"|"UNITED STATES"||"N"|"N"
6/30/2012 12:00:00 PM|"BLW"|23|"Female"||"BRO"|"BRO"|"UNITED STATES"||"N"|"N"
6/30/2012 12:00:00 PM|"BLW"|55|"Male"||"GRY"|"BRO"|"UNITED STATES"||"N"|"N"
6/30/2012 3:15:00 PM|"BLW"|23|"Male"||"BLK"|"BRO"|"HONDURAS"||"N"|"N"
7/1/2012 5:46:00 PM|"BLW"|41|"Male"||"GRY"|"XXX"|"CANADA"||"N"|"N"
7/1/2012 5:46:00 PM|"BLW"|17|"Male"||"BLK"|"XXX"|"SLOVAKIA"||"N"|"N"
7/1/2012 5:46:00 PM|"BLW"|46|"Male"||"GRY"|"XXX"|"CANADA"||"N"|"N"
